Date,Daily Return
1993-02-01,0.007112
1993-02-02,0.002119
1993-02-03,0.010571
1993-02-04,0.004184
1993-02-05,-0.000694
1993-02-08,0.000000
1993-02-09,-0.006949
1993-02-10,0.001399
1993-02-11,0.004891
1993-02-12,-0.007649
1993-02-16,-0.025227
1993-02-17,-0.000720
1993-02-18,-0.000719
1993-02-19,0.003600
1993-02-22,0.003587
1993-02-23,-0.000714
1993-02-24,0.012875
1993-02-25,0.002119
1993-02-26,0.001410
1993-03-01,-0.002815
1993-03-02,0.014819
1993-03-03,0.004173
1993-03-04,-0.005540
1993-03-05,-0.002785
1993-03-08,0.022346
1993-03-09,-0.003416
1993-03-10,0.002056
1993-03-11,-0.002736
1993-03-12,-0.010288
1993-03-15,0.004851
1993-03-16,0.000000
1993-03-17,-0.006207
1993-03-18,0.006246
1993-03-19,-0.001514
1993-03-22,-0.005552
1993-03-23,0.002094
1993-03-24,0.000000
1993-03-25,0.006267
1993-03-26,-0.005536
1993-03-29,0.004175
1993-03-30,0.002772
1993-03-31,-0.000691
1993-04-01,-0.003458
1993-04-02,-0.020818
1993-04-05,0.004961
1993-04-06,-0.002821
1993-04-07,0.003536
1993-04-08,-0.001409
1993-04-12,0.014115
1993-04-13,0.002088
1993-04-14,-0.001389
1993-04-15,0.000000
1993-04-16,0.000000
1993-04-19,-0.004173
1993-04-20,-0.004888
1993-04-21,-0.000701
1993-04-22,-0.012641
1993-04-23,-0.004268
1993-04-26,-0.007857
1993-04-27,0.010799
1993-04-28,-0.002137
1993-04-29,0.004283
1993-04-30,0.001422
1993-05-03,0.006387
1993-05-04,0.003527
1993-05-05,0.002810
1993-05-06,-0.003504
1993-05-07,-0.002110
1993-05-10,0.002115
1993-05-11,0.004219
1993-05-12,-0.001400
1993-05-13,-0.011921
1993-05-14,-0.000710
1993-05-17,0.003551
1993-05-18,-0.000707
1993-05-19,0.020538
1993-05-20,0.002776
1993-05-21,-0.008997
1993-05-24,0.004191
1993-05-25,0.002086
1993-05-26,0.012492
1993-05-27,-0.003427
1993-05-28,-0.004814
1993-06-01,0.009675
1993-06-02,-0.001368
1993-06-03,-0.003427
1993-06-04,-0.003439
1993-06-07,-0.003451
1993-06-08,-0.009003
1993-06-09,0.003494
1993-06-10,0.000696
1993-06-11,0.004175
1993-06-14,-0.001386
1993-06-15,-0.002081
1993-06-16,0.002086
1993-06-17,0.003470
1993-06-18,-0.008235
1993-06-21,0.002107
1993-06-22,0.000701
1993-06-23,-0.009104
1993-06-24,0.013427
